cdf_fire_diff,usgs_fire_diff
59,20
80,31
99,33
36-2,36
5 mile,37
58' (hwy 58),46
5-8 cliff lightning,49
65 fire,51
a3,58
ackerson fire,65
adobe (central lnu complex - nuns),67
albion lightning,74
albion river lightning,97
alder creek beach rd man,128
almazan,132
alsio,155
american river complex,198
andrews,210
arrowcreek,306
arroyo seco,400
assist,2-Apr
assist #16,"10"""""
assist #22 (soda),110th fire
assist #31,1-21 pork lightning
assist #42,152 fire
assist #51,200fire
assist #73,241 incident
assist (bridge),25 fire
assist (feather river),261 incident
assist (juniper),3 rocks
assist (kelsey),3+1
assist (turtle),40 fire
assist 42,41 fire
assist 84 (military afv),49 fire
assist crater,49er
assist/marple,58 #2
assist/old coach,58 complex
assist/opal #2,580 #6
atlas (southern lnu complex),580/vieira
ave 32,5th
avenue 26/road 19 5,600 fire
bagley complex,7 mile
bale,75th fire
banner 4,78 #4
bark knf assist #12,800 fire
bar-o-escape,810 fire
barrypoint (ca land),98 elk
basilone complex,a-3
bdf 5587,abigail
bear wallow,abney
bear wallow complex (klamath theater),abraham
bear-i,academy
bedford 923,ackerson
behemotash,ackerson (spot)
belli ranch,ackley
big bar complex,acquistit
bingo rincon #3,adam
blm - 2,adams ranch
blm #1 (jacks),adelaida
blm 417,adelaide
blm 4516,adobe
blm d 284,aera
blm d 337,aero_club
blm d596,aetna
bloomer #3,ager
blue complex,agoura fire
bluenose,agua dulce fire
borax,air
border #50,aircraft
border #95,airport_vasco
border fire #16,alaska
borrego,albanita
branham,alessandro
breakneck,alford
brokeoff,aliso i
brown (h-31),aliso ii
brown complex,alisos
brushy 1 lightning,all acres in mex
brushy 3 lightning,almaden
brushy lightning,almazon
bryant,alosta
buffalo,alta
bullard,alta mesa
bullards,altamont #1 - 6
burger creek lightning,altman
burroughs,altoona
burst complex,alvarado
burtons,amar fire
butch lightning,amarillo/tank fire
buzz,ammen
cabeu003316,ammo
cajalco fire,amphithea
camp roberts,ananda
canel,anderson
canyon 2,angel island fire
canyon complex,angora
carl,animal caused electrical arcing
cascade (neu wind complex),anita
casoose creek lightning,annette
cassel (shu complex),antelope fire
castle complex,anthony milne
cdf assist (scott),antler
cerrito fire 681,antonio
chalk (shu complex),apricot
chevron usa,aquaduct fire ii
chihuahua 2,aqueduct
childs,arco
chimney incident,ardo
china hat,argyle
china/chance,armstrong #1
cholollo,arnot
chris,a-rock
cienaga,arrastre
city,arrow complex
cliff ridge b lightning,arrow ic
cliff/valley,arroyo
coffee complex,ash mtn
coleman fish hatchery,ashurst
colina sup6,assist #105
comanche complex,assist #114
complex,assist #118
concordia,assist #121
conover,assist #177
"control burn, geysers",assist #21
copper,assist #54
copperhead,assist #59(pomerado)
corona (state 983),assist #59/magnolia
corral complex,assist #6
correia,assist #60
cort,assist #61
cougar-i,assist #65
courtney,assist #78
cowhead/blm d438,assist p.n.f.
coyote fire,assist#101
crank,assist#65/blackmt #2
cub complex,athens
daugherty gate,atlas
dawson-rru2tac22,atmore
decker,auberry
deep creek,aubery
deer park,autumn
deerhorn,avenida
dehaven gulch,avenue fire
del puerto canyon,avery
denny,axel
diablo /t7 t8/com4 t1,azalea
dillon complex,azusa
dino ic,azusa fire 26 acres
divide,b v ii
dixie,babcock
dodge complex (six fires),babcock peak
doe,bacchi
dogpatch,back
donkey mine rd/oak ru,backdoor
dutch kern #30,backscatter
eagle #1,backus
eagle fire,badger
eclipse complex,badger pnf
edna (state 1596),badger wf
egg fire,bailey
elk horn,baily
elliott,bake-oven
elm 2,baker
emery,bald - san rafael complex
eo2a,bald hill 3
esparenza,bald mtn. escape
esperanza-state,bald wf
explosive,bald wfu
f#88 shannon inc,baldwin fire
f.k.u. 7076,baldwin hills fire
falls #2,baldy
farad,bales
fay ranch,balloon
fay/top,bally
fernandez,bandy
fields,bangor
fku 7654,banneker
fku-15832,banner fire
flea valley,banning
forebay,barber
forest gate,barham
forest hill,bark
fork complex,barka
forks complex,barnett
fort complex,bar-o escape
fort copper,barona
fouts complex,barranca
freaner,barrel
gale,barry point
gallatin,bartlett
galvin,bartlett 2
garnet dike,basalt
gasquet complex,base
gibbel,basham
gilman fire,basin
gleason,bassetts
gomez (shu complex),bates fire
goose (shu complex),bautista
greenmeadow,bay
grenade,bayles
grider/lake,bayne
grimes,beach
guerrero,beale afb beale
gun club,beale afb grass valley ga
happy camp complex,beale assist
hardy,beale escape
havila,bean
hells half complex,bear 2
hernrick vmp,bear wallow-lime complex
hickock,beardsley
high rock,beauty
highglade,beaver
highway 74,beck
hoisington,beckwith (tahoe nf)
honey ic tac 9,bedford
hoover complex,bee
horno,bee #2
horse complex,beeler
horse lightning,beerock
horton #2,belfast
hough complex,bell springs
humboldt complex,bell west
humming bird,bella
hunter #9,belotta
hwy 152,ben hur
hwy 175,bena
hwy 58,bennett
hwy 70,bennett-lime complex
igo 13,benny
igo 15,bent
igo 16,berdoo
igo 17,bernasconi
igo 18,beswick
igo 6,betabel
inscription,bethany
intake,betty blace
inyo complex,bevan
iron complex & alps complex,bichota
island mt. series,bidart
jack rabbit,bidwell park
jack smith lightning,biederman
jameson lightning,big
jarrell,big arroy
jenny,big five
johnson vmp,big meadow
jolan #2,big mt rx escape
juan creek lightning,big rock
juliett,big trees
july complex,bill
keene complex,bingo
kelley,birch
kern #10,bird_1
kern #17 (chocktaw),bird_2
kern 19 cottonwood,birthday
kern co. #25,biscuit
kern co. #26,bitter
kern co. #27,black #481
kern co. #7,black diamond es
kern co. #9 (knob),black diamond mi
king/titus,black fire
kinneloa,black gulch
knf assist #11 (uncles complex),black rock
knf assist #12 (happy camp),blackbrush
knf assist #15,blackjack
knf beaver,blacksmith
knopki,blackstar
kuhner,blair
kutras,blaisdell
la porte (neu wind complex),blm #d-430
lackerman,blm 3
lacy,blm d-354
laguna #100,blm#1
laguna canyon,blocksburg
lake complex,blocksburg 1-58
lakehead,bloom
lassen,bloomer
lassen np 2225 (huffer),blue 2
lewiston 8,blue cut
lightning #11,blue fire
lightning #12 (bear),blue gum
lightning #14 (esperanza),blue jay
lightning #17,blue mountain
lightning #29 (keystone),blue nose
lightning #40,blue oaks
lightning #53,blue slide 1
lightning #58,blue2
lightning #70,bluff2
lightning #79,bluford 1-55
lightning #83 (dixie),bnsf
lightning #9,boardman
lightning #97,boardman 2
lightning 66,boat_house
lightning honeydew,bobcat
lightning series,bobfish-kern #14
likely,boca reservoir
lilac 5,boden
lime complex,bodie
little 5,boggs 5
lobo (neu wind complex),bogus
lodge complex,bohemotash
longwood,boise
loop,bolla
lopez/kern co #8,bolli
los gatos series,bonelli fire
lost lake,bonita #2
lost pipe lightning,bonnheim
low gap 1 lightning,bonny
lpf #807,borax fire
lpf asst #7 (kirk),border
lucas complex,border #10
mad complex,border #14
mad river complex,border #25
mallo-b lightning,border #34
marron #4,border #58
martin fire,border #6
martin series,border #70
matthew,border 10
mattole #2,border 12
maywood fire,border 16
mccourtney (neu wind complex),border 30
mchough complex,border 6
merged with yolla bolly complex,border 7
meridian av lucerne_vall,border#2
metz #4,border#26
metzen,border#31
mill complex,border#33
miller complex,border#4
millstream,border#44
min,border#48
mnf 964 assist,border#5
mnf-334 assist (fork),border#50
modoc complex,border#6
modoc july complex,border2
modoc n.f. 094,boswell
modoc nf 707 (ambrose),bottcher
monterey,bottle
montgomery flat lightning,bottle peak
moon,bottom
moreno-s-1046,boulder
mortar,boulder complex
musty #1,boulder-lime complex
musty #2,boundary
musty #3,bouquet fire
nees fire,bouquet fire no. ii
nicholas,bowen
nod bbt4,bowman
north mountain,box canyon (pioneer) fire
northford,box springs
november,boyd
nuns (central lnu complex),boys
oak glenn iii,bradford
observation,bradley incident
old 2,bradley-lockwood
old gulch,bragdon
old highway,bramlette
old topanga,brandt
olivas,bravo
oliver / mrp 588,braye
oliver complex (merged with oliver),breck
one-eleven (shu complex),breckenridge
opal mountain,bredhoft
orange co. assist,breeze
orco assist,brennan
orestima,brewer
orleans complex,briceberg
orr series lightning,bridal
orr springs rd orr 3,bridal veil
oso lightning,bridge fire
otay #18,bridge incident
p.n.f. 115,bridgeport
pacy,bridges
parker 2,bright
partrick (central lnu complex - nuns),brigss
pasqual,brileburg
patato,broadway / north complex
peterson complex,brock
pg&e #19,broder/beck wfu
pg&e #8 (cavendale),broken
pg&e (trauner),bronco
pg&e 13,brooktrails #2
pg&e 27,broome ranch
pg&e 39,brown
